curve	x	y
a	-1.225563909774436	-22.239583333333336
a	-1.050751879699248	-19.84375
a	-0.9718045112781954	-19.0625
a	-0.9182330827067668	-17.552083333333336
a	-0.8843984962406014	-17.447916666666664
a	-0.8167293233082706	-15.833333333333336
a	-0.7716165413533833	-14.84375
a	-0.7208646616541352	-13.958333333333336
a	-0.6870300751879698	-13.59375
a	-0.6137218045112781	-11.354166666666664
a	-0.531954887218045	-10.3125
a	-0.49812030075187963	-10.364583333333332
a	-0.4163533834586466	-8.489583333333332
a	-0.3402255639097742	-6.875
a	-0.32894736842105243	-7.34375
a	-0.26409774436090205	-5.885416666666664
a	-0.20770676691729317	-5.052083333333332
a	-0.07236842105263142	-2.708333333333332
a	-0.02443609022556381	-1.8229166666666679
a	0.06296992481203034	0
a	0.17293233082706783	1.6145833333333321
a	0.20112781954887238	2.135416666666668
a	0.22650375939849643	2.65625
a	0.27161654135338376	3.229166666666668
a	0.2969924812030078	3.802083333333332
a	0.33364661654135364	4.427083333333332
a	0.36748120300751896	5
a	0.392857142857143	5.520833333333334
a	0.43515037593984984	6.197916666666668
a	0.46898496240601517	6.71875
a	0.49154135338345895	7.135416666666668
b	-1.2227443609022557	-18.958333333333336
b	-1.0648496240601504	-16.770833333333336
b	-0.9859022556390977	-16.09375
b	-0.9266917293233082	-15.416666666666664
b	-0.8928571428571428	-15.208333333333336
b	-0.8280075187969924	-13.489583333333336
b	-0.7772556390977443	-12.65625
b	-0.7236842105263157	-12.03125
b	-0.701127819548872	-11.71875
b	-0.6137218045112781	-9.84375
b	-0.5206766917293232	-8.125
b	-0.5037593984962405	-7.8125
b	-0.4163533834586466	-7.447916666666664
b	-0.33740601503759393	-5.989583333333332
b	-0.3402255639097742	-5.364583333333332
b	-0.26691729323308255	-5.052083333333332
b	-0.22462406015037573	-4.270833333333332
b	-0.07800751879699241	-2.083333333333332
b	-0.03289473684210509	-1.3020833333333321
b	0.1898496240601506	2.5
b	0.22086466165413543	3.125
b	0.27443609022556403	4.375
b	0.32518796992481214	5.520833333333334
b	0.3477443609022559	6.614583333333334
b	0.37875939849624074	7.03125
b	0.4492481203007521	10.104166666666666
b	0.4633458646616544	10.989583333333334
b	0.48590225563909795	17.708333333333332
